        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603120600,   3.154,   3.958,   0.300,   0.504,   3.958,   0.200,   3.858,   0.400,   4.058
202603120606,   3.175,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120612,   3.194,   4.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120618,   3.211,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120624,   3.226,   4.109,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120630,   3.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120636,   3.251,   4.090,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120642,   3.261,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120648,   3.269,   4.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120654,   3.276,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120700,   3.280,   4.090,   0.400,   0.410,   4.090,   0.200,   3.890,   0.500,   4.190
202603120706,   3.283,   4.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120712,   3.283,   4.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120718,   3.282,   4.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120724,   3.279,   4.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120730,   3.274,   4.119,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120736,   3.267,   4.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120742,   3.258,   4.057,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120748,   3.247,   4.057,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120754,   3.233,   4.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603120800,   3.218,   3.919,   0.400,   0.301,   3.919,   0.200,   3.719,   0.500,   4.019
